Time,Value
526,318.369
527,302.414
528,282.651
529,260.474
530,250.307
531,249.053
532,251.05
533,255.661
534,274.099
535,276.824
536,270.576
537,266.034
538,262.354
539,262.849
540,266.233
541,278.651
542,332.661
543,393.601
544,416.274
545,420.016
546,405.994
547,385.793
548,345.263
549,295.809
550,261.619
551,252.596
552,255.796
553,267.23
554,280.81
555,295.136
556,289.79
557,276.384
558,292.396
559,306.393
560,323.916
561,331.167
562,331.476
563,338.844
564,341.906
565,328.091
566,312.931
567,296.073
568,291.054
569,298.914
570,300.973
571,300.393
572,298.517
573,299.436
574,289.58
575,284.344
576,275.284
577,267.083
578,268.1
579,271.346
580,282.907
581,310.403
582,326.484
583,339.246
584,352.487
585,378.81
586,412.811
587,437.747
588,449.12
589,443.616
590,438.689
591,443.174
592,433.057
593,418.701
594,407.36
595,401.174
596,408.176
597,416.089
598,421.024
599,431.393
600,443.986
601,449.646
602,437.553
603,428.601
604,428.591
605,421.35
606,400.643
607,360.971
608,328.309
609,312.756
610,306.879
611,290.694
612,275.186
613,273.894
614,286.794
615,286.277
616,285.317
617,284.743
618,298.866
619,307.221
620,322.299
621,327.931
622,343.701
623,362.471
624,367.931
625,357.784
626,353.417
627,343.05
628,344.689
629,342.116
630,331.12
631,323.793
632,317.954
633,318.737
634,306.056
635,288.849
636,291.026
637,300.107
638,316.664
639,339.543
640,354.001
641,368.306
642,386.256
643,393.039
644,401.37
645,404.084
646,401.504
647,404.08
648,414.381
649,419.126
650,419.833
651,428.059
652,417.083
653,407.251
654,392.811
655,380.627
656,373.791
657,373.563
658,357.286
659,362.903
660,375.934
661,386.356
662,388.98
663,391.624
664,396.217
665,404.063
666,401.277
667,347.224
668,297.933
669,251.601
670,202.477
671,148.823
672,102.02
673,65.5629
674,65.1286
675,64.23
676,62.3071
677,60.9586
678,57.7329
679,55.8057
680,54.4529
681,54.2657
682,53.5771
683,53.8029
684,53.2414
685,55.58
686,56.4471
687,56.8157
688,56.5671
689,57.09
690,56.8886
691,56.3186
692,54.2886
693,54.1329
694,55.1043
695,56.2129
696,57.2843
697,89.6757
698,120.56
699,141.34
700,170.063
701,192.701
702,214.119
703,232.941
704,229.814
705,226.25
706,232.279
707,225.234
708,216.873
709,213.696
710,215.764
711,213.607
712,209.549
713,198.926
714,207.084
715,218.539
716,229.726
717,232.64
718,229.224
719,233.227
720,240.683
721,234.456
722,227.71
723,221.257
724,218.916
725,220.263
726,219.831
727,217.331
728,222.828
729,224.2
730,203.53
731,1690.45
732,1686.31
733,1769.05
