Index,Real,ARIMA,GRU,GWO-LSTM,LSTM,SAES
1.0,34.581249,1.0,18.311605541103688,43.46841476052544,6.1834658027832745,39.24248044022947
2.0,34.663499,6.884405111726832,51.45691943443619,44.851898243881664,64.83151538664922,39.90641740767719
3.0,34.743316,6.613656174558745,45.69268350260889,37.31527825207336,10.266363768864124,41.33480516140814
4.0,34.470335000000006,5.774535520765131,46.95105870000683,36.0045607646632,21.0465026356174,38.42555520856429
5.0,34.357064,5.525318540477262,17.520980305375886,33.217856491314535,47.02616610522412,38.96840765249887
6.0,33.966716,9.144361464778491,23.2179450725768,38.69551835107328,1.6926451898752646,40.75066689222344
7.0,33.827053,1.0,47.51075090421679,27.54333132221997,61.88890002479914,38.50462191872237
8.0,33.50060800000001,5.554644291421411,43.955177905503774,40.77320526917177,9.302342917276777,38.02054068840917
9.0,33.337283,3.7491361894287465,24.043293502601458,29.745300910464124,8.75598745068558,40.55795196622465
10.0,32.96869,1.0,19.07331240157926,29.85210893187471,50.58088831567999,36.42830306884085
11.0,32.61167400000001,1.0,44.924424190790255,28.5050917461796,55.35194184965364,26.726680727294777
12.0,31.92997,4.532531943582626,18.22022872096529,30.070562602353647,3.9104875695677777,35.564631388598684
13.0,31.848426000000003,1.0,40.97947180579057,35.83619067107281,18.112499431995744,25.044598176712157
14.0,31.965787,1.0,44.51722465725749,20.949560965112795,48.607976280789,29.09814189183174
15.0,31.798581,1.0,41.31787863027004,34.78782271942896,51.934563792468765,34.22675781948014
16.0,31.519843,1.0,15.09854918508698,41.1261815536711,50.56564333664048,34.4125770155146
17.0,31.567990999999992,1.0,39.55261467363615,21.703552952100864,16.096798177589733,34.582282520714784
18.0,31.524414000000004,5.179440728689489,18.63603305279274,23.426622529064105,62.10886867753665,35.33103630002738
19.0,31.523296000000002,1.0,24.120816621768743,31.40329897350664,55.15140919318907,25.34760495646696
20.0,31.489910000000005,1.0,17.334247218984075,26.489421196093645,54.43776749125196,33.88858028577692
21.0,31.082217000000004,6.843492034187616,23.983677901802142,37.57513570391379,16.773328467419958,27.542529066981405
22.0,31.336386,5.268655567469427,26.13062461627613,22.341858255806144,1.0,36.291711659867744
23.0,31.648204,1.0,23.876139802156462,31.20372225812001,16.584606661318816,28.160287369862377
24.0,31.986424,1.0,23.221999425484555,26.524803355335223,13.833924326568734,36.40988098889788
25.0,32.362866999999994,1.0,21.298566210154696,26.37745464194289,47.72132851233559,26.156554546788332
26.0,32.921424,4.6710239690889175,28.35333508835783,25.02364611488385,59.48042239931711,26.918951428810686
27.0,33.116166,8.006826928172963,27.89780250382207,40.3971508666215,11.439604794076558,36.94116275162581
28.0,33.293979,1.0,25.732764560853887,26.053176241539404,1.7361029178556748,26.48703541400428
29.0,33.434563,1.0,37.77940473295403,23.10915280674349,19.309584885893017,26.809371852098074
