Index,Real,ARIMA,GRU,GWO-LSTM,LSTM,SAES
1.0,90.272102,111.63564299604218,87.95167941049158,90.86492576633542,100.36591633236236,80.21799319227816
2.0,89.948274,74.09026319054914,92.3602110315029,92.17898748451384,86.08510452880131,96.81665601350208
3.0,88.45295300000001,70.1829619018408,85.05125752494425,89.26702219352693,84.01741883041903,81.86476475856435
4.0,86.869085,102.4416819145654,83.76677456319872,85.37835612139688,83.43799947905441,94.95255589138635
5.0,87.815939,77.26572872904832,89.49685476041189,87.5264995776312,96.3006912106941,93.79758454076529
6.0,89.724451,83.00033541389557,94.69276261838984,91.39309391608154,93.36869246712126,85.29971513561169
7.0,92.980305,87.77654579413496,98.61298622085214,94.21289773998234,98.85967714446862,98.35720968638898
8.0,96.468647,89.19714229271204,91.3276181118014,94.03056271322068,89.23502399941262,110.65957853216472
9.0,99.245418,106.19757930536836,103.84736100525625,98.9158386193067,105.1478759191068,107.53500398820026
10.0,107.61600299999999,112.60429116609043,114.70584300035011,109.43009128545872,96.13539371518222,121.38062584767503
11.0,117.53315200000002,121.97108059966745,108.31531792226684,117.8886598838202,101.90019351756712,105.01288234112
12.0,127.89743100000003,126.98682649758852,135.29778971570397,132.04317467893395,135.326945588461,116.21211262717704
13.0,133.114093,130.72577191661708,140.66794218209736,129.32519573284085,124.27330801666712,144.00525735281593
14.0,132.80293600000002,130.050417983484,120.67160973450063,132.86576024581643,124.53246633499624,141.84473690527022
15.0,131.631635,139.0275816464292,145.67379336482745,128.1406834099786,114.08598333147933,153.59986666306264
16.0,130.577638,137.05132944549857,123.90582460171548,132.69200536872387,146.00142201391415,118.93040490916012
17.0,126.568809,133.64557118249402,135.68458169072943,130.53394303018882,114.04141328754602,144.71392242674182
18.0,116.969351,118.8664405633812,121.2439369199798,117.79079024233036,109.23616244084428,136.17428622804792
19.0,106.217556,102.50892027106732,108.71897685043916,107.5502795463524,114.31610175075907,98.55399573370806
20.0,99.616754,109.9422801414606,103.8644083730905,97.11048232519016,111.30696535504482,83.95407126705543
21.0,98.73845200000001,85.37736947430673,102.83515530129368,95.48803338930432,105.63971873147464,86.28254410162234
22.0,96.44374,112.03812998189764,91.65232128337762,94.78688707134567,90.0618495857103,103.77938049960156
23.0,94.174873,75.08721765348145,95.41056857992164,97.42396815648324,87.69447189011782,86.37865965039185
24.0,92.800811,108.31469065628475,90.67819761874752,90.30400428206886,99.32034257449592,87.142448457563
25.0,96.37366399999999,112.51941157462376,95.18789005573947,98.72952348667188,87.27946759882258,103.8803329556409
26.0,97.23884600000001,86.14033264135048,98.97370770830084,97.57478898195416,89.06208277137591,84.15087688601821
27.0,97.90710800000001,89.70231347595569,97.17021761754548,101.06343234415218,107.52583551674954,85.9985997770148
28.0,97.65643899999999,102.85702454857967,95.97312172943924,99.33139861857109,104.13900649324486,108.12278364632397
29.0,100.810045,96.82210945898191,100.49927445835372,103.4157663434776,89.86898959252144,116.14147773056656
30.0,103.224366,105.63415742438778,108.8462950635612,101.82264995333848,98.04772482638278,113.79683271610888
31.0,102.181118,104.97021497245696,96.99606002351425,103.54411316774602,109.07964789744946,86.68175172811422
32.0,99.51871399999999,91.90207640458384,104.61385805081323,97.63350866226988,103.7975341383281,89.53823100921942
