Index,Real,Predicted
1.0,1619.0,1530.897101236326
2.0,1187.25,1206.121030587874
3.0,1799.4500000000003,1675.1888151622
4.0,1203.45,1218.4898937413054
5.0,1653.75,1555.5518333339733
6.0,1936.25,1765.7046186633831
7.0,1832.35,1687.5124975124688
8.0,1809.85,1674.214729739243
9.0,1201.9,1217.1967805038964
10.0,1823.1999999999998,1685.3097707606514
11.0,1243.5,1248.9678399882569
12.0,1258.85,1260.2862997099069
13.0,1801.9,1662.5986764635422
14.0,1204.2,1219.4791251815857
15.0,1726.05,1616.481862327682
16.0,1842.55,1696.0913948459142
17.0,1810.75,1673.8766673718271
18.0,1283.8,1279.0362419908847
19.0,1842.65,1697.9297864486193
20.0,1162.25,1188.7640119603263
21.0,1273.7,1271.5781730710933
22.0,1268.0,1267.266362251405
23.0,1176.7,1199.6212119563597
24.0,1192.35,1210.1968525737157
25.0,1251.75,1254.8233684369816
26.0,1202.75,1217.3006793957873
27.0,1729.5,1610.6798174479852
28.0,1278.55,1275.3487924096537
29.0,1972.85,1793.6153646194846
30.0,1245.75,1250.409014700656
31.0,1308.5,1297.3766693728842
32.0,1797.75,1674.5699360917224
33.0,1264.55,1264.6613219914793
34.0,1302.8,1293.7744270212863
35.0,1503.8,1448.7802545213844
36.0,1924.15,1767.6180683632983
37.0,1779.6500000000003,1650.080100508491
38.0,1391.05,1358.343481762723
39.0,1298.4,1289.7864221265088
40.0,1413.7499999999998,1378.475041759616
41.0,1500.7,1446.3229949256047
42.0,1799.5999999999997,1671.3167093519355
43.0,1252.0,1255.0131757573965
44.0,1.0,291.4823690288936
45.0,1860.95,1714.8342006391035
46.0,1279.0,1275.462322146179
47.0,1327.7,1311.8468202637496
48.0,1537.85,1469.7181735961822
49.0,1270.9,1269.4975642558102
50.0,1284.15,1279.5913280995144
51.0,1235.9,1243.0301183210427
52.0,1131.35,1163.8508843620339
53.0,1811.1,1672.507234902379
54.0,1188.6,1206.410940533387
55.0,1282.9,1278.3513332750963
56.0,1550.75,1481.4257013119045
57.0,1292.05,1285.1757769845378
58.0,1247.9,1252.2629484701145
59.0,1737.3,1623.1157582626142
60.0,1335.5,1317.5523663648519
61.0,1862.9,1713.4568998603609
62.0,1293.05,1286.320777320619
63.0,1282.3,1278.2891670358752
64.0,1324.65,1310.6935193817073
65.0,1726.2,1609.1397756851802
66.0,1291.7,1285.0453266542906
67.0,1161.85,1185.7120916675358
68.0,1351.45,1329.005749904919
69.0,1475.95,1427.0701555360895
70.0,1258.15,1259.879923936948
71.0,1241.7,1247.3958778217655
72.0,1899.75,1748.0330130639206
73.0,1219.75,1231.2691666987903
74.0,1314.1,1301.5820973199998
75.0,1691.5000000000002,1583.4242431126813
76.0,1258.2,1259.9222980720572
77.0,1881.05,1727.0905032537491
78.0,1185.55,1205.537806743232
79.0,1298.8,1290.7522662578792
80.0,1416.1,1380.6974606297892
81.0,1322.85,1309.3446504928183
82.0,1608.95,1527.9885367913428
83.0,1240.4,1246.3933870352091
84.0,1134.6,1167.613740814802
85.0,1213.6,1226.5876495744408
86.0,1233.3,1241.2701552170263
87.0,1923.2500000000002,1756.7253544183277
88.0,1875.0,1721.8031503321756
89.0,1284.2,1279.768561663794
90.0,1787.75,1656.5933286459126
91.0,1242.25,1247.7409460634328
92.0,1972.35,1799.1949604229753
93.0,1870.3,1727.1637367102849
94.0,1807.7,1678.1230888802465
95.0,1230.3,1239.0250731395286
96.0,1692.55,1586.4156432374177
97.0,1317.15,1304.4164907436889
98.0,1331.25,1314.2879356703766
99.0,1248.1,1252.1510707581251
100.0,1723.35,1606.488932546718
101.0,1407.6,1372.1825487313843
102.0,1477.3,1428.1688530346921
103.0,1841.75,1701.8198133084584
104.0,1502.05,1446.5967079363334
105.0,1284.7499999999998,1279.9001276469603
106.0,1235.35,1242.3467956875422
107.0,1272.75,1270.8112087671432
108.0,1762.55,1644.6803996959686
109.0,1256.5,1258.6506492902467
110.0,1503.5,1446.4388433842364
111.0,1807.35,1681.9701665061584
112.0,1277.05,1274.2313113505738
