Index,Real,Predicted
1.0,34.581249,6.1834658027832745
2.0,34.663499,64.83151538664922
3.0,34.743316,10.266363768864124
4.0,34.470335000000006,21.0465026356174
5.0,34.357064,47.02616610522412
6.0,33.966716,1.6926451898752646
7.0,33.827053,61.88890002479914
8.0,33.50060800000001,9.302342917276775
9.0,33.337283,8.75598745068558
10.0,32.96869,50.580888315679985
11.0,32.61167400000001,55.35194184965364
12.0,31.92997,3.9104875695677777
13.0,31.848426000000003,18.112499431995744
14.0,31.965787,48.607976280789
15.0,31.798581,51.934563792468765
16.0,31.519843,50.56564333664048
17.0,31.567990999999992,16.096798177589733
18.0,31.524414000000004,62.10886867753665
19.0,31.523296000000002,55.15140919318907
20.0,31.489910000000005,54.43776749125196
21.0,31.082217000000004,16.773328467419958
22.0,31.336386,1.0
23.0,31.648204,16.584606661318816
24.0,31.986424,13.833924326568734
25.0,32.362866999999994,47.72132851233559
26.0,32.921424,59.480422399317106
27.0,33.116166,11.439604794076558
28.0,33.293979,1.7361029178556748
29.0,33.434563,19.309584885893017
30.0,33.393993,54.123108282624756
31.0,32.998954,53.624811950286926
32.0,32.85686700000001,16.51070065788346
33.0,32.632162,59.53590571021705
34.0,32.249949,10.070896714556966
35.0,31.904537000000005,3.405842280924645
36.0,31.728505999999996,7.7668131507856515
37.0,31.63339400000001,57.97416113726156
38.0,31.864759000000003,1.0
39.0,32.160347,45.65262615986285
40.0,33.107847,49.838180109658325
41.0,34.154869999999995,16.515097568912296
42.0,35.431513,59.811199382676946
43.0,36.511077,57.87194767462189
44.0,37.381513,25.388446912691535
45.0,37.846589,61.99527028068371
46.0,38.41099,58.04420134827508
47.0,38.200773,17.808151913326626
48.0,38.426942,20.006349560184972
49.0,38.568494,16.67666575758531
50.0,38.380966,22.007190136036144
51.0,38.145133,19.517390618774954
52.0,38.193834,16.63716765457994
53.0,37.931497,14.274795068383355
54.0,37.664968,52.226047582083694
55.0,37.362259,54.38163940279199
56.0,36.828778,25.19763263028416
57.0,37.116634000000005,15.035586307864008
58.0,37.700762999999995,9.15009381186357
59.0,38.294546,58.58774464612182
60.0,38.686319999999995,6.60869712601621
61.0,38.98612,67.74480987628266
62.0,39.577191000000006,59.53365229636481
63.0,40.587075,28.629158062435366
64.0,41.370734999999996,16.121635421530442
65.0,41.680842000000005,65.99452429007655
66.0,41.768860999999994,52.67105785392411
67.0,42.230168,70.58843769674543
68.0,43.296642000000006,67.04961405351395
69.0,43.509757,20.791179836320822
70.0,42.793183,72.45200640484161
71.0,41.713083,71.15386638116605
72.0,41.656454000000004,62.87968514168372
73.0,42.05088,25.907976937689938
74.0,42.712839,14.141733102307995
75.0,42.97762,58.202289150805015
76.0,43.554866999999994,72.15373036519254
77.0,44.543331,70.53514955412227
78.0,45.234413,23.447378945128833
79.0,45.119475,67.51768816385145
80.0,44.651217,63.47612097733267
81.0,44.252162,32.91484823439201
82.0,43.419202,57.868485939292924
83.0,42.476068,57.02616386451473
84.0,42.26267500000001,12.451325247830994
85.0,42.526886,68.29274846885555
86.0,43.744853,19.891298822026116
87.0,44.897886,68.6741081865623
88.0,44.336173,26.842739045048106
89.0,44.525200000000005,55.09927140274547
90.0,45.605384,75.09333841156493
91.0,45.8995,62.61125450683663
92.0,45.339753,17.323569358673723
93.0,45.070781999999994,56.30825921138408
94.0,45.305255,69.78113847998773
95.0,46.357962,60.70258790268727
96.0,46.606176000000005,35.74577098723924
97.0,46.729816,23.17468053019624
98.0,47.810999,58.395235563112465
99.0,49.341682999999996,22.238304116500004
100.0,49.896946,38.59602596573228
101.0,49.933247,75.54812090724718
102.0,50.20453,74.49100754834825
103.0,50.564910999999995,63.593561197690605
104.0,51.443601,67.94762061784705
105.0,51.279281000000005,34.42552613833557
106.0,50.548177,28.669170748654466
107.0,49.723385,66.0784115719483
108.0,50.24417,22.42063430409516
109.0,51.083114,71.54300945463001
110.0,52.303607,73.42296917381039
111.0,51.52787,33.05995411589416
112.0,50.22837,29.49288489579247
113.0,50.230001,38.661715490402
114.0,50.347097,71.86257715673972
115.0,50.149544,23.215127556266665
116.0,49.104406000000004,32.077756866102945
117.0,47.323043000000006,34.55396442954891
118.0,47.59264999999999,20.46080276103021
119.0,49.224157,26.469315637226373
120.0,50.88402,74.5716318192915
121.0,51.783696,73.17397397307357
122.0,51.683637,68.87466198679908
123.0,52.853996,28.982746428227927
124.0,55.099045,43.792990659060905
125.0,55.878522,82.00173508774068
126.0,55.815981,36.45626122591432
127.0,55.169031,69.44127518897585
128.0,55.129229,40.88959471909466
129.0,55.068526999999996,77.30284981928494
130.0,54.501292,33.30905859022232
131.0,53.069267,75.7121041198626
132.0,52.3662,35.84833815311292
133.0,51.623695999999995,35.66499709717547
134.0,50.1012,39.38808641387044
